Timeseries,Year,Week,LGAs,States,Reported,Imputation,Deaths,Confirmed,Positive_Incidence,Negative_Incidence
1,2018,30,,,926,,68,225,,
1,2018,29,,,910,,68,220,,
1,2018,28,,,877,,65,214,,
1,2018,27,141,29,862,,64,209,5,15
1,2018,26,141,29,842,,62,204,2,10
1,2018,25,141,29,830,,62,202,6,18
1,2018,24,141,29,806,,60,196,1,5
1,2018,23,141,29,800,,60,195,1,3
1,2018,22,141,29,796,,60,194,1,4
1,2018,21,137,29,791,,60,193,,
1,2018,20,141,29,791,,60,193,1,10
1,2018,19,138,29,780,,59,192,5,8
1,2018,18,137,29,767,,56,187,3,4
1,2018,17,136,29,760,,56,186,0,11
1,2018,16,132,29,749,,56,186,0,9
1,2018,15,130,29,740,,56,186,1,20
1,2018,14,125,28,719,,53,185,3,18
1,2018,13,123,28,698,,53,182,2,17
1,2018,12,121,28,679,,53,180,6,21
1,2018,11,120,28,652,,52,174,2,7
1,2018,10,119,28,633,,51,172,7,28
1,2018,9,116,28,595,,50,165,6,26
1,2018,8,111,27,564,,46,159,13,21
1,2018,7,103,26,514,,45,147,21,34
1,2018,6,95,27,458,,36,125,31,56
1,2018,5,82,26,371,,30,94,30,123
1,2018,4,63,20,203,,23,64,30,86
1,2018,3,35,15,87,,15,34,21,32
1,2018,2,12,8,34,,7,13,12,11
1,2018,1,4,4,4,,1,1,1,3
1,2017,52,95,29,733,,71,143,1,4
1,2017,51,95,29,728,,71,142,1,5
1,2017,50,95,29,720,,70,141,2,4
1,2017,49,94,28,714,,69,139,1,17
1,2017,48,94,28,695,,68,138,5,11
1,2017,47,94,28,679,,67,133,4,21
1,2017,46,94,28,654,,67,129,3,21
1,2017,45,93,27,604,,67,124,1,0
1,2017,44,92,27,602,,67,123,1,3
1,2017,43,90,27,598,,67,122,1,7
1,2017,42,90,27,590,,67,121,2,19
1,2017,41,86,26,569,,65,120,1,10
1,2017,40,85,26,558,0,64,119,1,10
1,2017,39,81,26,547,0,64,118,1,0
1,2017,38,80,26,546,0,64,117,0,3
1,2017,37,80,26,531,0,64,117,3,5
1,2017,36,80,26,523,0,62,114,3,18
1,2017,35,80,26,502,0,61,111,2,14
1,2017,34,78,26,486,0,60,109,5,49
1,2017,33,78,26,432,0,58,104,6,4
1,2017,32,74,25,393,0,58,97,4,9
1,2017,31,73,24,374,0,56,93,2,1
1,2017,30,68,22,366,0,56,88,2,8
1,2017,29,67,22,344,0,56,86,4,1
1,2017,28,66,22,338,0,55,85,3,3
1,2017,27,64,22,332,0,54,82,3,9
1,2017,26,63,22,320,0,53,79,3,0
1,2017,25,63,22,317,0,52,76,7,0
1,2017,24,61,22,308,0,50,69,3,0
1,2017,23,60,22,301,0,49,65,1,2
1,2017,22,59,21,298,0,49,64,4,6
1,2017,21,54,20,263,0,48,59,0,1
1,2017,20,54,20,262,0,48,59,1,3
1,2017,19,51,20,258,0,46,58,0,2
1,2017,18,51,20,255,0,46,58,0,0
1,2017,17,50,20,242,0,46,58,0,2
1,2017,16,48,18,240,0,46,58,0,0
1,2017,15,48,18,238,0,46,58,0,0
1,2017,14,46,17,235,0,44,58,1,1
1,2017,13,44,16,231,0,43,57,,
1,2017,12,40,13,214,0,39,54,,
1,2017,11,38,12,193,0,31,50,10,9
1,2017,10,33,11,166,0,24,40,2,3
1,2017,9,32,10,160,0,23,38,2,4
1,2017,8,31,10,152,0,23,38,0,3
1,2017,7,29,10,146,0,23,38,1,2
1,2017,6,27,10,138,0,21,37,6,2
1,2017,5,24,10,130,0,19,31,4,4
1,2017,4,21,9,113,0,17,25,,
1,2017,3,18,9,72,,10,16,,
1,2017,2,11,8,28,,4,5,,
1,2017,1,6,5,9,,0,1,3,5
1,2016,52,144,29,921,0,119,111,,
